"Code","Region","Remove","Community","Full_Name","Country","Long","Lat","BioregionName","SubRealm","num_nodes","EVI_mean","bin.AG.class","EVI_std","Frag_std"
"MAV","Subequatorial Savannas & Woodlands",0,"Mavinga","Mavinga National Park","Angola",20.99,-15.55,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",49,3159.10161662818,99.8159177043855,196.565147968594,0
"MERU","Lake Turkana",0,"Meru","Meru National Park","Kenya",38.2,0.1,"Lake Turkana-Sudd Grasslands, Bushlands & Forests","HornOfAfrica",73,2733.74826789838,99.3987975951904,99.3758867977807,0.72354381851311
"MGSF","Sudanian Savanna",0,"Manovo Gounda Saint Floris","Manovo Gounda Saint Floris National Park","Central African Republic",21.26,9.14,"West Sudanian Savanna","SubSaharanAfrotropics",54,3284.51963048499,98.4087292566492,147.273949588877,1.36199963777705
"MIKU","Subequatorial Savannas & Woodlands",0,"Mikumi","Mikumi National Park","Tanzania",37.22,-7.44,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",59,4192.69515011547,99.8136577880083,78.5349678559212,0
"MMNP","Victoria Basin & Albertine Rift Forests",0,"Mahale Mountains","Mahale Mountains National Park","Tanzania",29.92,-6.22,"Victoria Basin & Albertine Rift Forests","EquatorialAfrotropics",65,4092.20554272517,99.8130635583901,191.967864913947,0
"MOC","Southern Drylands",0,"Mocamedes","Mocamedes Partial Reserve","Angola",12.42,-15.64,"Southwest African Coastal Drylands","SouthernAfroTropics",37,552.704387990762,99.8159974023163,47.9021781784506,0
"MTAS","Sudanian Savanna",0,"Mount Assirik","Mount Assirik","Senegal",-13.03,13.01,"West Sudanian Savanna","SubSaharanAfrotropics",50,2876.95381062356,98.7480611566585,75.9000834952805,1.66249702274351
"MTE","Lake Turkana",0,"Mount Elgon","Mount Elgon National Park","Kenya",34.51,1.19,"Lake Turkana-Sudd Grasslands, Bushlands & Forests","HornOfAfrica",66,2223.25866050808,99.7564755368607,372.410884142509,0
"MTFO","Congolian Forests",0,"Mont Fouari","Mont Fouari Faunal Reserve","Congo",11.61,-2.8,"South Congolian Forest-Savannas & Coastal Scarp","EquatorialAfrotropics",51,3193.39953810624,99.8123206005741,98.5745173439472,0.0334164449893888
"MTK","Lake Turkana",0,"Mount Kenya","Mount Kenya National Park","Kenya",37.34,-0.12,"Lake Turkana-Sudd Grasslands, Bushlands & Forests","HornOfAfrica",63,1483.49653579677,99.7454625940682,155.604739525529,0
"MUD","Subequatorial Savannas & Woodlands",0,"Mudumu","Mudumu National Park","Namibia",23.57,-18.08,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",59,2642.54734411085,99.8173614095402,80.7743135526295,0
"MUPA","Subequatorial Savannas & Woodlands",0,"Mupa","Mupa National Park","Angola",15.54,-15.96,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",52,2854.29792147806,99.827027027027,125.760860464583,0
"MUR","Victoria Basin & Albertine Rift Forests",0,"Murchison Falls","Murchison Falls National Park","Uganda",31.8,2.26,"Victoria Basin & Albertine Rift Forests","EquatorialAfrotropics",63,3840.66281755196,98.6158773735987,129.685814297416,1.96972596126302
"MUSH","Subequatorial Savannas & Woodlands",0,"Mushandike","Mushandike Sanctuary","Zimbabwe",30.64,-20.11,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",50,2716.05311778291,99.494732315631,123.7855274484,0.0335914682379286
"MWAB","Subequatorial Savannas & Woodlands",0,"Mwabvi","Mwabvi Wildlife Reserve","Malawi",35.02,-16.71,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",58,3186.58198614319,97.5880597014925,136.989113503547,0.432283732477384
"MWE","Subequatorial Savannas & Woodlands",0,"Mweru Wantipa","Mweru Wantipa National Park","Zambia",29.42,-8.65,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",60,3329.67898383372,99.7691800395691,131.064070908165,0.0164949773302427
"NAI","Subequatorial Savannas & Woodlands",0,"Nairobi","Nairobi National Park","Kenya",36.86,-1.38,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",67,2609.14318706697,96.8490211853044,172.353823228387,0.159717136035366
"NAMI","Southern Drylands",0,"Namib Naukluft","Namib Naukluft National Park","Namibia",15.33,-24.55,"Southwest African Coastal Drylands","SouthernAfroTropics",28,962.08545034642,99.8321795678624,6.8783138114854,0
"NGCA","Subequatorial Savannas & Woodlands",0,"Ngorongoro","Ngorongoro Conservation Area","Tanzania",35.38,-3.05,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",67,1661.81524249423,99.7682119205298,160.45832802378,0.0907737754835499
"NGO","Congolian Forests",0,"Ngotto Forest","Ngotto Forest","Central African Republic",17.24,3.88,"North Congolian Lowland Forests","EquatorialAfrotropics",60,4516.00230946882,99.8124862122215,66.6484423465433,0
"NIA","Subequatorial Savannas & Woodlands",0,"Niassa","Niassa Game Reserve","Mozambique",37.35,-12.01,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",55,3460.33025404157,99.8250792609599,182.443914095357,0
"NKA","Subequatorial Savannas & Woodlands",0,"Nkasa Rupara","Nkasa Rupara National Park","Namibia",23.66,-18.39,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",55,2445.91454965358,99.817439862543,106.280486780307,0.0317494098283519
"NKH","Subequatorial Savannas & Woodlands",0,"Nkhotakota","Nkhotakota Wildlife Reserve","Malawi",34.03,-12.87,"Greater African Subequatorial Savannas & Mixed Woodlands","SubEquatorialAfrotropics",60,3718.13856812933,99.5621237000547,98.2991319783166,0
"NOU","Congolian Forests",0,"Nouabale Ndoki","Nouabale Ndoki National Park","Congo",16.6,2.5,"North Congolian Lowland Forests","EquatorialAfrotropics",56,4142.27251732102,99.8123620309051,29.52294078337,0
"NYA","Congolian Forests",0,"Nyanga Nord","Nyanga Nord Faunal Reserve","Congo",11.83,-2.96,"South Congolian Forest-Savannas & Coastal Scarp","EquatorialAfrotropics",56,2762.29792147806,99.7680070702607,124.109950234602,0
